,Hawk,Dove
0,0.001,0.999
1,0.002,0.998
2,0.004,0.996
3,0.008,0.992
4,0.016,0.984
5,0.032,0.968
6,0.062,0.938
7,0.122,0.878
8,0.222,0.778
9,0.402,0.598
10,0.656,0.344
11,0.888,0.11199999999999999
12,0.8133333333333334,0.18666666666666665
13,0.7221396731054978,0.27786032689450224
14,0.6212534059945504,0.37874659400544963
15,0.856,0.14400000000000002
16,0.7732283464566929,0.22677165354330708
17,0.6733812949640288,0.32661870503597124
18,0.88,0.12
19,0.8055105348460292,0.1944894651539708
20,0.7123893805309734,0.28761061946902655
21,0.6165113182423435,0.3834886817576565
22,0.85,0.15000000000000002
23,0.7645211930926217,0.23547880690737832
24,0.6633380884450785,0.33666191155492153
25,0.884,0.11599999999999999
26,0.8113821138211382,0.18861788617886177
27,0.71875,0.28125
28,0.6189189189189189,0.3810810810810811
29,0.86,0.14
30,0.7777777777777778,0.2222222222222222
31,0.6786743515850144,0.32132564841498557
32,0.5768725361366623,0.42312746386333766
33,0.83,0.17000000000000004
34,0.7424242424242424,0.25757575757575757
35,0.6421636615811374,0.35783633841886264
36,0.868,0.132
37,0.7877813504823151,0.21221864951768488
38,0.6917510853835022,0.30824891461649784
39,0.5939553219448095,0.4060446780551905
40,0.836,0.16400000000000003
41,0.7469135802469136,0.25308641975308643
42,0.6477115117891817,0.35228848821081826
43,0.878,0.122
44,0.8016260162601626,0.1983739837398374
45,0.7082111436950147,0.2917888563049853
46,0.6054054054054054,0.39459459459459456
47,0.842,0.15800000000000003
48,0.7554179566563467,0.2445820433436533
49,0.6544428772919605,0.3455571227080395
50,0.892,0.10799999999999998
51,0.8208955223880597,0.17910447761194026
52,0.7293233082706767,0.2706766917293233
53,0.6312925170068027,0.36870748299319733
54,0.868,0.132
55,0.7860615883306321,0.2139384116693679
56,0.6898550724637681,0.3101449275362319
57,0.5907894736842105,0.40921052631578947
58,0.836,0.16400000000000003
59,0.7476923076923077,0.25230769230769234
60,0.6510344827586206,0.34896551724137936
61,0.872,0.128
62,0.7938808373590982,0.2061191626409018
63,0.7004341534008683,0.29956584659913166
64,0.6057818659658344,0.3942181340341656
65,0.832,0.16800000000000004
66,0.7431192660550459,0.25688073394495414
67,0.6460055096418733,0.3539944903581267
68,0.876,0.124
69,0.7983739837398374,0.20162601626016263
70,0.7033773861967695,0.2966226138032305
71,0.6092105263157894,0.3907894736842106
72,0.846,0.15400000000000003
73,0.7597503900156006,0.24024960998439937
74,0.6634078212290503,0.3365921787709497
75,0.88,0.12
76,0.803921568627451,0.196078431372549
77,0.7102941176470589,0.28970588235294115
78,0.6117804551539491,0.3882195448460509
79,0.86,0.14
80,0.7788309636650869,0.22116903633491314
81,0.6810344827586207,0.31896551724137934
82,0.916,0.08399999999999996
83,0.8556701030927835,0.14432989690721654
84,0.7716535433070866,0.22834645669291342
85,0.6733238231098431,0.32667617689015693
86,0.874,0.126
87,0.7971014492753623,0.2028985507246377
88,0.7010309278350515,0.2989690721649485
89,0.6055408970976254,0.3944591029023746
90,0.84,0.16000000000000003
91,0.7538461538461538,0.24615384615384617
92,0.6530898876404494,0.3469101123595506
93,0.886,0.11399999999999999
94,0.8112582781456954,0.1887417218543046
95,0.7191679049034175,0.28083209509658247
96,0.6238286479250335,0.37617135207496655
97,0.854,0.14600000000000002
98,0.7708006279434851,0.22919937205651486
99,0.670958512160229,0.32904148783977105
100,0.904,0.09599999999999997
