,Hawk,Dove
0,0.001,0.999
1,0.002,0.998
2,0.004,0.996
3,0.008,0.992
4,0.014,0.986
5,0.028,0.972
6,0.056,0.944
7,0.11,0.89
8,0.202,0.798
9,0.354,0.646
10,0.576,0.42400000000000004
11,0.82,0.18000000000000005
12,0.7305389221556886,0.2694610778443114
13,0.6311475409836066,0.3688524590163934
14,0.5358490566037736,0.4641509433962264
15,0.78,0.21999999999999997
16,0.6829971181556196,0.3170028818443804
17,0.5896774193548387,0.41032258064516125
18,0.4981684981684982,0.5018315018315018
19,0.76,0.24
20,0.6619718309859155,0.3380281690140845
21,0.5664961636828645,0.4335038363171355
22,0.804,0.19599999999999995
23,0.7104874446085672,0.28951255539143284
24,0.6164021164021164,0.3835978835978836
25,0.5235732009925558,0.4764267990074442
26,0.798,0.20199999999999996
27,0.7046783625730995,0.29532163742690054
28,0.6063829787234043,0.3936170212765957
29,0.5129789864029666,0.4870210135970334
30,0.756,0.244
31,0.6573033707865169,0.3426966292134831
32,0.5591259640102828,0.4408740359897172
33,0.812,0.18799999999999994
34,0.7210682492581603,0.27893175074183973
35,0.625,0.375
36,0.5330012453300125,0.4669987546699875
37,0.792,0.20799999999999996
38,0.6976744186046512,0.3023255813953488
39,0.5981432360742706,0.40185676392572944
40,0.5127272727272727,0.4872727272727273
41,0.78,0.21999999999999997
42,0.6820809248554913,0.3179190751445087
43,0.5837696335078534,0.4162303664921466
44,0.834,0.16600000000000004
45,0.7457886676875957,0.25421133231240434
46,0.6473029045643154,0.3526970954356846
47,0.5570890840652447,0.4429109159347553
48,0.812,0.18799999999999994
49,0.7198211624441133,0.2801788375558867
50,0.6202702702702703,0.37972972972972974
51,0.5279503105590062,0.4720496894409938
52,0.79,0.20999999999999996
53,0.6956521739130435,0.30434782608695654
54,0.6023468057366362,0.39765319426336376
55,0.508641975308642,0.49135802469135803
56,0.776,0.22399999999999998
57,0.6795422031473534,0.32045779685264664
58,0.5836575875486382,0.41634241245136183
59,0.4927007299270073,0.5072992700729927
60,0.728,0.272
61,0.631935047361299,0.368064952638701
62,0.5370138017565872,0.4629861982434128
63,0.784,0.21599999999999997
64,0.6901004304160688,0.30989956958393117
65,0.5984455958549223,0.4015544041450777
66,0.5067484662576687,0.4932515337423313
67,0.754,0.246
68,0.6564245810055865,0.34357541899441346
69,0.5549805950840879,0.4450194049159121
70,0.81,0.18999999999999995
71,0.7155688622754491,0.28443113772455086
72,0.62,0.38
73,0.5297029702970297,0.47029702970297027
74,0.786,0.21399999999999997
75,0.6907514450867052,0.30924855491329484
76,0.599483204134367,0.40051679586563305
77,0.868,0.132
78,0.7877813504823151,0.21221864951768488
79,0.690406976744186,0.30959302325581395
80,0.5974025974025974,0.4025974025974026
81,0.5097323600973236,0.4902676399026764
82,0.772,0.22799999999999998
83,0.6761363636363636,0.32386363636363635
84,0.5846153846153846,0.41538461538461535
85,0.5006002400960384,0.49939975990396157
86,0.756,0.244
87,0.6611111111111111,0.3388888888888889
88,0.5648267008985879,0.4351732991014121
89,0.818,0.18200000000000005
90,0.7267267267267268,0.2732732732732732
91,0.6297297297297297,0.37027027027027026
92,0.5419753086419753,0.4580246913580247
93,0.782,0.21799999999999997
94,0.6894586894586895,0.3105413105413105
95,0.5934640522875817,0.4065359477124183
96,0.5072639225181598,0.49273607748184023
97,0.776,0.22399999999999998
98,0.6809116809116809,0.31908831908831914
99,0.5844155844155844,0.4155844155844156
100,0.49514563106796117,0.5048543689320388
